state_region,city_tier,employment_type,monthly_income_inr,age,loan_amount_inr,loan_tenure_months,loan_purpose,existing_emis_inr,credit_score,prior_defaults,active_loans,bank_account_age_years,digital_payment_score,residential_status,collateral_type,dependents,delinquency_30dpd_last_12m,debt_to_income_pct,loan_to_income_ratio,defaulted
West,Tier 2,Salaried,66500,32,118000,48,Consumer durable,8700,451,1,0,6.0,48,Family owned,None,1,1,13.4,0.15,0
East,Tier 3/Rural,Self-employed,52600,26,135000,24,Medical,32500,718,0,1,3.4,83,Rented,Gold,1,1,62.8,0.21,0
South,Tier 3/Rural,Salaried,54200,30,160000,84,Two-wheeler,14600,768,0,0,12.4,54,Owned,Gold,2,0,27.3,0.25,0
West,Tier 3/Rural,Salaried,94900,37,109000,12,Home improvement,19900,747,0,0,10.1,78,Owned,Gold,0,0,21.9,0.1,0
West,Tier 1,Unemployed,35500,25,132000,36,Personal,8200,674,0,1,12.5,44,Rented,None,1,3,24.1,0.31,0
Central,Tier 3/Rural,Self-employed,59000,29,318000,12,Home improvement,10200,682,0,0,3.7,51,Family owned,Gold,0,1,21.6,0.45,0
West,Tier 2,Business owner,43800,51,180000,24,Two-wheeler,12700,661,0,1,3.0,51,Owned,Gold,3,0,30.6,0.34,0
West,Tier 2,Self-employed,40200,21,67000,24,Personal,14100,686,0,1,5.4,76,Family owned,Property,1,1,35.7,0.14,0
West,Metro,Salaried,86600,34,407000,36,Business,11000,733,0,1,3.9,63,Rented,None,2,1,13.9,0.39,0
East,Metro,Self-employed,132600,24,274000,36,Education,18100,457,1,1,3.4,47,Rented,None,2,2,14.2,0.17,1
North,Tier 2,Self-employed,33300,28,85000,12,Education,17400,702,0,0,10.6,80,Owned,Gold,1,1,54.3,0.21,0
West,Metro,Salaried,66700,34,165000,12,Education,3200,806,0,1,10.5,76,Rented,None,0,0,6.8,0.21,0
West,Tier 2,Business owner,50300,26,125000,24,Personal,23300,626,0,2,8.9,73,Owned,None,2,0,47.3,0.21,0
Central,Tier 3/Rural,Self-employed,50600,42,324000,12,Personal,8300,601,0,2,1.7,72,Owned,Fixed deposit,3,2,21.5,0.53,0
West,Tier 3/Rural,Gig/Contract,48300,50,164000,36,Business,19900,576,0,2,7.1,52,Owned,None,3,0,42.1,0.28,0
South,Metro,Self-employed,35100,44,199000,24,Business,3200,657,0,2,4.9,90,Owned,None,1,0,11.4,0.47,0
Northeast,Tier 3/Rural,Self-employed,12000,46,185000,48,Personal,1800,714,0,0,8.4,65,Owned,Gold,1,0,18.1,1.28,0
South,Metro,Salaried,98100,22,80000,84,Two-wheeler,13000,710,0,2,8.2,72,Rented,None,1,0,13.3,0.07,0
North,Tier 1,Unemployed,28800,34,521000,24,Business,4200,566,0,1,6.6,74,Rented,None,1,1,21.7,1.51,0
North,Tier 3/Rural,Salaried,36900,41,321000,60,Business,11100,699,0,2,10.6,50,Owned,None,4,0,31.5,0.72,0
North,Metro,Salaried,37400,45,129000,48,Medical,11600,720,1,1,6.5,100,Family owned,None,0,0,31.7,0.29,0
North,Metro,Salaried,27400,54,237000,12,Education,1600,707,0,2,1.5,67,Rented,None,1,1,12.7,0.72,0
South,Metro,Self-employed,48200,47,394000,48,Business,11700,895,0,1,4.6,68,Family owned,Vehicle,0,0,25.9,0.68,0
East,Tier 2,Unemployed,41200,45,217000,24,Business,2000,595,0,0,3.7,60,Rented,None,3,0,6.9,0.44,0
East,Tier 3/Rural,Business owner,28500,62,575000,36,Two-wheeler,2700,690,0,0,3.0,88,Owned,None,2,0,14.8,1.68,0
North,Metro,Gig/Contract,45800,37,1392000,36,Personal,900,708,0,3,3.2,88,Family owned,Gold,1,1,10.0,2.53,0
West,Metro,Unemployed,41400,33,193000,60,Personal,1400,606,0,1,4.3,70,Family owned,None,1,0,4.1,0.39,0
North,Tier 2,Gig/Contract,70300,38,143000,36,Medical,11000,683,0,1,3.9,41,Rented,None,0,0,16.2,0.17,0
Northeast,Tier 1,Salaried,20200,27,110000,48,Personal,100,556,0,0,7.4,64,Rented,None,0,1,1.6,0.45,0
North,Tier 2,Self-employed,27100,37,50000,18,Business,10300,654,0,3,3.5,66,Rented,None,4,1,39.0,0.15,0
West,Tier 3/Rural,Salaried,62900,21,470000,84,Business,5700,794,0,0,7.6,59,Rented,None,2,0,9.9,0.62,0
South,Tier 2,Salaried,29700,31,166000,36,Two-wheeler,5400,871,0,0,9.3,49,Family owned,None,2,0,19.7,0.47,0
West,Tier 3/Rural,Salaried,25700,35,369000,48,Medical,7200,862,0,1,7.5,39,Rented,Property,2,0,30.9,1.2,0
South,Tier 2,Salaried,30500,45,421000,48,Business,2200,776,0,1,6.0,93,Owned,Fixed deposit,2,0,9.9,1.15,0
East,Tier 3/Rural,Business owner,39900,47,104000,12,Personal,3800,803,0,0,7.9,80,Owned,Property,3,0,11.6,0.22,0
North,Metro,Unemployed,40000,26,114000,18,Home improvement,18600,670,0,1,3.1,68,Owned,None,0,0,48.0,0.24,0
Central,Metro,Salaried,37600,57,650000,48,Education,20100,514,1,1,1.7,55,Owned,Vehicle,2,3,56.9,1.44,0
West,Tier 2,Gig/Contract,24000,37,200000,60,Two-wheeler,10100,561,1,2,8.1,73,Rented,Gold,2,0,43.4,0.69,0
East,Metro,Salaried,64600,38,136000,36,Home improvement,8400,747,0,2,6.5,71,Family owned,None,1,0,13.6,0.18,0
Central,Tier 3/Rural,Salaried,87500,21,106000,24,Business,7700,622,1,0,12.9,60,Owned,Property,1,1,9.3,0.1,0
Northeast,Tier 2,Salaried,14800,30,191000,18,Two-wheeler,1600,721,1,2,9.4,74,Owned,Vehicle,3,0,17.6,1.08,0
North,Tier 3/Rural,Salaried,18000,46,557000,24,Consumer durable,3200,545,0,1,4.6,76,Owned,None,4,0,30.0,2.58,0
South,Tier 1,Salaried,73200,38,326000,24,Business,16100,736,0,1,5.0,79,Rented,Fixed deposit,0,0,23.8,0.37,0
South,Tier 2,Salaried,100000,37,235000,60,Business,16200,668,1,0,6.2,51,Rented,None,0,2,16.6,0.2,0
South,Tier 2,Salaried,13100,38,587000,24,Personal,1400,743,0,0,5.2,75,Rented,None,2,1,28.4,3.73,0
West,Tier 1,Salaried,66100,22,518000,24,Two-wheeler,11800,573,1,1,6.1,88,Company provided,None,3,0,21.0,0.65,0
Northeast,Tier 2,Business owner,103900,35,260000,24,Education,7400,612,0,4,4.0,72,Company provided,None,2,0,8.1,0.21,0
Northeast,Tier 2,Salaried,26300,50,1270000,60,Business,12500,764,0,3,8.7,100,Family owned,Fixed deposit,3,0,55.2,4.02,0
West,Tier 3/Rural,Salaried,100600,47,178000,36,Education,24400,812,0,1,7.2,64,Family owned,Gold,3,0,24.7,0.15,0
West,Tier 2,Self-employed,38300,35,427000,12,Home improvement,12200,767,0,0,5.4,36,Rented,None,0,0,40.7,0.93,0
Central,Metro,Salaried,50200,52,162000,24,Two-wheeler,1800,744,0,0,2.8,52,Rented,Vehicle,0,0,4.9,0.27,0
Central,Tier 1,Self-employed,28400,23,376000,24,Business,1400,801,0,1,5.4,55,Rented,Property,0,0,10.2,1.1,0
North,Tier 2,Salaried,73200,26,178000,18,Medical,26300,758,0,0,6.7,77,Family owned,Property,3,1,37.2,0.2,0
West,Metro,Self-employed,66800,55,282000,36,Home improvement,28500,661,1,0,5.2,82,Owned,Property,2,2,43.8,0.35,0
East,Tier 1,Self-employed,108900,42,988000,18,Home improvement,45200,805,0,0,4.5,69,Owned,Property,4,0,46.3,0.76,0
South,Tier 1,Self-employed,93200,33,388000,24,Medical,16000,702,0,2,1.3,72,Owned,Gold,2,0,18.8,0.35,0
South,Metro,Self-employed,42000,35,285000,24,Personal,22700,525,1,4,17.8,100,Rented,None,2,2,56.7,0.57,0
Northeast,Tier 2,Salaried,233200,28,126000,24,Business,41600,695,1,0,3.4,52,Rented,Property,0,0,18.1,0.05,0
Northeast,Metro,Salaried,88700,39,236000,24,Consumer durable,12700,690,0,2,6.9,66,Owned,None,0,0,15.4,0.22,0
Central,Tier 2,Salaried,56800,38,109000,36,Business,4900,536,0,1,3.0,59,Rented,None,4,1,9.1,0.16,0
East,Metro,Self-employed,24400,36,372000,12,Personal,8300,835,0,1,6.6,46,Rented,None,2,0,46.1,1.27,0
South,Tier 2,Salaried,18200,24,366000,18,Consumer durable,3900,747,0,0,6.9,31,Family owned,None,4,0,32.0,1.68,0
South,Metro,Salaried,19100,39,186000,48,Personal,8500,765,0,1,4.7,90,Owned,Gold,1,0,46.4,0.81,0
West,Tier 3/Rural,Self-employed,25200,31,616000,60,Two-wheeler,4300,711,0,0,5.2,53,Owned,Property,2,1,20.9,2.04,0
West,Metro,Salaried,90000,26,562000,6,Personal,8200,773,0,1,3.8,62,Rented,None,2,0,19.0,0.52,0
West,Tier 2,Salaried,55200,49,230000,6,Education,23700,657,0,1,17.8,75,Rented,Gold,0,0,49.5,0.35,0
West,Tier 1,Self-employed,30100,58,302000,60,Two-wheeler,300,728,0,1,9.0,46,Family owned,None,2,0,2.6,0.84,0
South,Tier 1,Salaried,39200,55,143000,12,Education,2100,651,1,0,6.1,52,Rented,Gold,3,1,8.2,0.3,0
East,Tier 1,Gig/Contract,36600,43,175000,84,Consumer durable,2400,698,0,2,4.1,67,Family owned,None,1,1,7.1,0.4,0
South,Tier 3/Rural,Business owner,65500,33,104000,48,Education,5100,544,0,1,8.5,59,Owned,None,2,2,8.1,0.13,0
South,Tier 3/Rural,Business owner,26000,35,153000,12,Education,3100,798,0,0,8.5,44,Rented,Gold,2,0,16.6,0.49,0
North,Tier 1,Salaried,51100,40,195000,12,Medical,5400,693,0,1,3.1,78,Company provided,None,3,0,13.6,0.32,0
North,Metro,Salaried,49800,32,71000,84,Medical,21200,510,1,3,2.0,59,Owned,None,3,2,42.7,0.12,0
Central,Tier 2,Self-employed,26500,49,304000,18,Personal,3100,565,0,3,4.0,69,Family owned,None,1,1,17.8,0.96,0
South,Tier 2,Self-employed,101100,21,406000,24,Personal,44200,821,0,1,3.9,68,Owned,None,1,2,45.3,0.33,0
North,Metro,Self-employed,35900,33,208000,12,Business,4200,711,0,0,2.2,84,Rented,Gold,2,1,16.3,0.48,0
East,Tier 2,Salaried,24400,44,36000,36,Medical,7100,728,0,0,3.3,73,Owned,None,4,0,29.5,0.12,0
West,Tier 2,Salaried,67400,28,177000,48,Business,13800,603,0,0,2.8,51,Rented,None,3,1,21.0,0.22,0
North,Tier 2,Salaried,43500,34,84000,36,Personal,8100,624,0,0,10.7,88,Family owned,Property,2,1,19.1,0.16,0
South,Tier 1,Salaried,52800,42,141000,6,Home improvement,7100,635,1,0,6.7,58,Owned,Vehicle,1,3,17.7,0.22,1
North,Tier 1,Salaried,22000,51,537000,36,Business,3800,627,0,1,7.2,52,Owned,None,3,0,23.7,2.03,0
West,Metro,Business owner,66000,23,43000,36,Business,1900,851,0,2,8.8,50,Rented,Gold,0,0,3.1,0.05,0
South,Tier 2,Salaried,139400,22,123000,12,Medical,8800,845,0,0,3.0,25,Owned,None,0,0,7.0,0.07,0
North,Metro,Self-employed,21100,27,358000,36,Home improvement,8800,642,0,0,7.3,56,Rented,None,1,1,46.2,1.41,0
North,Tier 2,Business owner,51300,21,132000,36,Business,18300,700,0,1,4.5,74,Company provided,Gold,2,0,36.4,0.21,0
West,Tier 3/Rural,Salaried,27400,21,126000,6,Business,7600,537,0,1,10.7,42,Owned,None,0,0,35.0,0.38,0
North,Tier 2,Self-employed,185200,26,783000,60,Business,58100,583,0,1,9.9,98,Rented,None,1,1,32.0,0.35,0
Central,Metro,Self-employed,83400,48,267000,24,Education,22300,772,0,2,11.9,27,Rented,Property,3,1,28.0,0.27,0
North,Tier 1,Salaried,49300,33,384000,12,Education,9300,829,0,0,3.2,53,Owned,Vehicle,2,0,25.0,0.65,0
West,Tier 1,Self-employed,21500,36,288000,12,Business,4300,694,0,4,5.2,40,Owned,Property,0,0,30.6,1.12,0
South,Tier 2,Gig/Contract,24500,26,232000,24,Business,600,649,0,1,3.9,84,Family owned,Property,1,1,6.2,0.79,0
South,Tier 3/Rural,Gig/Contract,63600,42,475000,18,Education,10400,580,0,2,3.7,79,Rented,None,2,0,20.3,0.62,0
North,Tier 1,Gig/Contract,19900,55,721000,18,Personal,2600,625,0,2,4.0,62,Family owned,Gold,0,0,32.2,3.02,0
East,Tier 3/Rural,Unemployed,20300,27,70000,48,Business,6100,763,0,2,8.1,41,Rented,None,0,0,30.7,0.29,0
Central,Metro,Salaried,42400,53,204000,36,Business,5700,758,0,0,3.8,45,Rented,Gold,4,0,14.7,0.4,0
North,Tier 1,Gig/Contract,45400,40,203000,12,Two-wheeler,11900,550,0,0,3.3,71,Family owned,None,2,0,29.8,0.37,0
North,Metro,Self-employed,52000,36,158000,36,Two-wheeler,4900,752,0,0,3.7,55,Family owned,None,1,0,10.2,0.25,0
Central,Tier 2,Self-employed,33100,40,395000,36,Personal,200,888,0,2,2.3,57,Family owned,None,2,0,3.8,0.99,0
West,Metro,Gig/Contract,70000,40,247000,24,Consumer durable,5700,680,0,1,3.8,66,Owned,Vehicle,2,0,9.5,0.29,0
North,Tier 1,Gig/Contract,26300,55,731000,84,Medical,2900,653,0,1,10.1,60,Company provided,None,2,0,14.2,2.32,0
North,Tier 2,Business owner,59600,41,427000,18,Business,6400,741,0,1,15.4,36,Family owned,Gold,2,2,14.5,0.6,0
West,Tier 2,Salaried,47500,41,507000,6,Two-wheeler,2300,810,0,3,4.5,43,Family owned,Vehicle,2,0,21.7,0.89,0
East,Metro,Self-employed,58700,32,96000,6,Home improvement,12500,815,0,2,10.4,43,Rented,Vehicle,0,0,23.9,0.14,0
West,Metro,Salaried,80800,44,124000,18,Education,24500,704,0,1,13.1,54,Company provided,None,1,0,31.1,0.13,0
Northeast,Tier 2,Self-employed,32800,26,131000,24,Consumer durable,7900,696,0,1,9.8,69,Rented,None,1,0,25.7,0.33,0
West,Tier 1,Gig/Contract,29300,37,494000,6,Personal,3000,581,0,2,1.6,68,Family owned,Property,3,0,36.9,1.41,0
South,Metro,Gig/Contract,16700,65,111000,24,Personal,2200,632,0,2,4.5,88,Rented,Gold,2,0,15.8,0.55,0
South,Tier 2,Salaried,13900,21,114000,60,Business,800,755,0,2,11.5,42,Family owned,None,3,0,7.1,0.68,0
South,Tier 1,Self-employed,38300,38,101000,48,Personal,10800,713,0,0,8.4,73,Family owned,Property,1,0,28.7,0.22,0
North,Tier 2,Salaried,39800,39,1251000,36,Business,7800,746,0,0,9.4,53,Owned,None,2,0,27.9,2.62,0
North,Tier 1,Salaried,23200,34,191000,36,Home improvement,4600,629,1,4,5.7,100,Rented,None,2,0,22.0,0.69,0
South,Metro,Salaried,26100,34,295000,36,Personal,19500,733,0,2,6.8,65,Rented,None,1,0,77.7,0.94,0
East,Metro,Business owner,97500,37,100000,24,Education,9800,711,0,0,4.8,57,Family owned,None,4,0,10.5,0.09,0
North,Tier 1,Salaried,68300,33,390000,24,Business,7800,784,0,2,10.3,72,Family owned,None,1,0,13.7,0.48,0
South,Metro,Unemployed,21100,38,66000,18,Medical,2100,706,0,2,4.8,71,Family owned,Gold,2,1,11.6,0.26,0
West,Tier 1,Salaried,33100,31,111000,12,Education,3800,727,0,0,6.2,60,Family owned,None,3,0,14.1,0.28,0
West,Tier 3/Rural,Gig/Contract,52700,56,130000,24,Personal,5100,709,0,1,4.0,78,Rented,Gold,2,0,10.7,0.21,0
East,Tier 3/Rural,Self-employed,29900,33,241000,24,Business,2100,746,0,0,3.4,94,Owned,Vehicle,2,0,10.2,0.67,0
East,Tier 1,Self-employed,27000,42,125000,12,Education,7000,708,0,3,10.8,84,Rented,Property,1,0,29.6,0.39,0
East,Tier 2,Self-employed,35000,29,563000,18,Home improvement,13000,809,0,3,10.2,64,Family owned,None,2,0,45.6,1.34,0
North,Tier 2,Gig/Contract,76900,45,290000,48,Business,2200,587,1,1,3.7,99,Rented,Vehicle,1,0,3.6,0.31,0
South,Tier 3/Rural,Business owner,80800,43,133000,18,Two-wheeler,23400,702,0,0,6.9,76,Family owned,None,2,1,29.8,0.14,0
West,Tier 1,Self-employed,28200,40,400000,24,Home improvement,14900,766,0,1,10.1,47,Company provided,Gold,3,0,58.5,1.18,0
South,Tier 1,Salaried,54400,26,162000,12,Education,7700,723,0,0,16.9,68,Rented,None,0,1,16.5,0.25,0
North,Tier 1,Salaried,42000,28,142000,12,Personal,8800,773,0,1,7.2,63,Family owned,Gold,2,0,23.6,0.28,0
North,Metro,Gig/Contract,24200,53,374000,36,Business,1100,637,0,0,9.9,57,Rented,None,0,2,8.6,1.29,0
South,Tier 1,Self-employed,35800,28,42000,6,Consumer durable,1600,876,0,3,9.8,73,Rented,Gold,2,0,6.3,0.1,0
South,Tier 3/Rural,Self-employed,21100,42,337000,18,Business,4800,734,0,2,9.1,33,Owned,None,1,0,31.2,1.33,0
North,Tier 3/Rural,Self-employed,80000,27,131000,84,Two-wheeler,21600,705,0,0,1.9,96,Owned,None,2,0,27.2,0.14,0
East,Metro,Salaried,99100,46,131000,24,Home improvement,7300,874,0,1,6.8,78,Owned,Gold,1,1,7.9,0.11,0
Central,Tier 1,Gig/Contract,33700,29,746000,36,Two-wheeler,1800,627,0,0,4.9,34,Rented,None,1,0,11.2,1.84,0
North,Tier 1,Gig/Contract,29500,26,148000,36,Business,7600,859,0,0,3.3,78,Owned,Gold,2,0,27.1,0.42,0
Central,Tier 2,Gig/Contract,75400,29,389000,12,Education,24000,532,0,1,3.0,75,Rented,Gold,1,1,35.9,0.43,1
North,Tier 2,Gig/Contract,82400,30,251000,18,Personal,16600,666,0,2,4.0,93,Rented,Gold,2,1,21.8,0.25,0
Central,Metro,Business owner,22900,40,268000,24,Two-wheeler,5900,614,0,1,11.4,98,Rented,Vehicle,4,1,30.4,0.98,0
Northeast,Tier 3/Rural,Self-employed,38900,37,178000,12,Consumer durable,4200,647,0,3,3.0,100,Family owned,Vehicle,0,0,14.4,0.38,0
North,Tier 3/Rural,Unemployed,40800,25,172000,12,Personal,4100,694,0,2,9.1,62,Rented,Property,1,1,13.4,0.35,0
East,Tier 2,Salaried,27600,36,564000,36,Home improvement,1400,763,0,1,12.8,77,Owned,None,2,0,10.5,1.7,0
Northeast,Tier 2,Self-employed,52200,25,383000,12,Business,11200,689,0,1,4.0,58,Company provided,Gold,3,0,27.3,0.61,0
Central,Tier 2,Gig/Contract,28700,42,151000,12,Education,3800,865,0,3,12.2,85,Family owned,Vehicle,1,0,17.4,0.44,0
Northeast,Tier 1,Self-employed,31300,44,106000,24,Personal,1500,757,0,0,10.4,28,Rented,None,1,2,6.1,0.28,0
West,Metro,Salaried,39900,36,143000,24,Personal,5800,706,0,2,4.8,44,Family owned,None,3,0,16.0,0.3,0
North,Tier 2,Self-employed,18600,39,396000,36,Personal,3700,592,0,0,6.4,59,Owned,None,2,0,25.5,1.77,0
Central,Metro,Salaried,13600,54,450000,6,Business,2500,779,0,3,3.6,66,Family owned,Gold,3,1,70.8,2.76,0
West,Tier 3/Rural,Business owner,69900,34,300000,36,Consumer durable,19000,692,0,0,5.5,70,Owned,None,0,0,28.3,0.36,0
West,Tier 1,Salaried,28100,27,73000,48,Medical,7400,789,0,1,21.7,90,Rented,Gold,1,0,26.8,0.22,0
South,Tier 1,Salaried,136500,42,341000,24,Personal,30900,785,0,1,6.2,55,Owned,Gold,2,1,23.6,0.21,0
West,Tier 1,Self-employed,124800,25,488000,48,Two-wheeler,15300,705,0,1,4.3,44,Family owned,Gold,0,0,13.0,0.33,0
North,Tier 3/Rural,Salaried,31900,34,234000,24,Personal,1100,778,0,2,1.9,60,Owned,None,2,1,6.4,0.61,0
East,Metro,Salaried,152700,30,757000,6,Consumer durable,13700,630,1,1,7.2,56,Owned,Vehicle,0,0,16.8,0.41,0
North,Metro,Self-employed,70700,29,89000,24,Personal,4200,694,1,3,3.3,77,Owned,Gold,2,0,6.4,0.1,0
East,Metro,Self-employed,29600,33,326000,24,Personal,3500,781,0,1,2.6,94,Family owned,None,3,0,16.2,0.92,0
Central,Tier 2,Salaried,12000,45,108000,48,Business,1500,782,0,2,7.1,93,Owned,None,4,1,14.3,0.75,0
South,Tier 3/Rural,Self-employed,61600,47,416000,18,Business,12900,855,0,0,3.5,87,Rented,None,1,0,24.5,0.56,0
West,Tier 1,Self-employed,42900,45,311000,18,Personal,3500,691,0,2,9.3,57,Rented,Property,0,0,12.0,0.6,0
South,Tier 3/Rural,Gig/Contract,53500,39,674000,60,Business,10200,600,0,1,1.8,64,Family owned,None,3,0,21.1,1.05,0
Northeast,Tier 1,Salaried,37200,33,289000,18,Personal,8100,704,0,0,8.0,75,Owned,None,2,0,25.9,0.65,0
East,Tier 2,Salaried,22500,21,161000,36,Personal,3400,900,0,0,14.0,53,Family owned,None,2,0,17.0,0.6,0
South,Metro,Business owner,33400,40,152000,18,Personal,6300,829,0,1,7.6,55,Owned,None,3,0,21.3,0.38,0
North,Tier 2,Self-employed,62200,21,178000,60,Two-wheeler,21300,687,0,1,9.6,74,Owned,None,1,0,34.7,0.24,0
North,Tier 2,Salaried,34700,21,150000,12,Consumer durable,11700,709,0,0,3.8,42,Owned,Vehicle,1,0,37.1,0.36,0
South,Tier 2,Gig/Contract,34600,34,502000,36,Business,7200,716,0,1,9.8,87,Owned,None,3,0,24.6,1.21,0
Northeast,Tier 1,Salaried,18300,39,479000,24,Home improvement,4000,773,0,5,7.5,60,Rented,Vehicle,2,0,32.2,2.18,0
East,Tier 3/Rural,Gig/Contract,44400,31,79000,84,Two-wheeler,4200,765,0,0,6.5,77,Owned,None,2,0,9.7,0.15,0
North,Tier 3/Rural,Gig/Contract,22900,51,214000,84,Home improvement,4000,754,0,1,11.5,71,Family owned,None,3,0,18.5,0.78,0
Central,Tier 1,Unemployed,69900,41,218000,48,Consumer durable,9900,697,1,1,8.4,90,Rented,Vehicle,1,0,14.8,0.26,0
South,Tier 2,Unemployed,28200,34,126000,12,Two-wheeler,4900,820,0,3,3.4,29,Owned,Gold,3,0,20.9,0.37,0
Central,Tier 3/Rural,Salaried,35900,50,278000,24,Consumer durable,25000,739,0,2,4.7,90,Rented,Vehicle,1,0,72.7,0.65,0
South,Tier 1,Gig/Contract,138700,52,540000,48,Business,46700,550,1,0,13.0,89,Owned,None,3,2,34.4,0.32,0
West,Tier 3/Rural,Salaried,35600,41,373000,36,Home improvement,18700,683,0,1,3.1,72,Owned,None,1,0,55.3,0.87,0
Central,Tier 1,Self-employed,33100,28,502000,48,Personal,12500,700,0,1,3.1,76,Owned,Gold,1,1,40.8,1.26,0
South,Tier 2,Self-employed,58200,30,131000,48,Business,14500,770,0,1,9.3,78,Owned,None,2,0,25.4,0.19,0
West,Metro,Salaried,15800,22,214000,18,Education,5800,783,0,2,4.6,51,Owned,Vehicle,3,0,43.9,1.13,0
Northeast,Tier 1,Salaried,83900,36,127000,12,Consumer durable,8300,857,0,2,14.2,68,Family owned,None,2,0,11.1,0.13,0
North,Tier 2,Salaried,72900,25,244000,18,Consumer durable,16000,689,0,2,8.5,83,Rented,None,2,0,23.7,0.28,0
North,Tier 2,Salaried,56300,33,259000,36,Two-wheeler,10500,734,0,2,4.9,35,Family owned,Vehicle,4,1,19.9,0.38,0
West,Tier 3/Rural,Salaried,12000,39,390000,24,Consumer durable,400,567,1,3,7.5,75,Owned,Gold,2,1,16.2,2.71,0
South,Tier 3/Rural,Business owner,36600,21,491000,6,Medical,13600,642,1,1,3.9,69,Family owned,Property,3,1,58.4,1.12,0
North,Metro,Self-employed,21000,23,327000,36,Business,11300,900,0,3,15.4,78,Rented,Property,0,0,57.9,1.3,0
South,Tier 1,Gig/Contract,78300,31,119000,6,Personal,9900,693,0,0,6.6,44,Owned,None,0,0,15.1,0.13,0
East,Tier 1,Business owner,75300,35,87000,24,Personal,7300,900,0,2,5.1,54,Family owned,Gold,1,0,10.2,0.1,0
South,Tier 1,Gig/Contract,52200,31,293000,24,Personal,14500,619,0,3,4.3,42,Owned,Fixed deposit,4,1,30.0,0.47,0
South,Tier 2,Salaried,21800,33,554000,24,Personal,9600,675,0,2,3.3,42,Rented,None,1,0,54.1,2.12,0
Central,Tier 3/Rural,Business owner,96000,29,206000,12,Consumer durable,4200,670,0,1,3.6,82,Family owned,None,1,1,6.1,0.18,0
West,Tier 2,Gig/Contract,36500,22,77000,36,Personal,3800,723,0,1,4.0,56,Rented,Property,0,0,11.0,0.18,0
Central,Metro,Gig/Contract,113900,31,810000,48,Business,32200,673,0,0,2.3,55,Rented,None,0,0,29.7,0.59,0
South,Tier 1,Business owner,48800,34,287000,36,Business,3900,778,0,2,4.9,87,Rented,Property,2,1,9.5,0.49,0
Northeast,Tier 2,Self-employed,55800,33,234000,60,Business,7700,399,1,1,5.4,61,Owned,None,0,1,14.5,0.35,0
West,Tier 1,Self-employed,32800,37,98000,18,Personal,1800,666,0,3,7.6,84,Company provided,Property,3,1,7.1,0.25,0
North,Metro,Business owner,91500,40,211000,12,Business,30800,849,0,1,3.7,48,Owned,Gold,3,1,35.5,0.19,0
Central,Tier 1,Salaried,59000,43,327000,6,Business,9100,629,0,0,3.5,61,Owned,Gold,2,0,24.2,0.46,0
West,Tier 1,Gig/Contract,93300,30,290000,36,Business,20200,701,0,2,5.7,51,Owned,Vehicle,1,0,22.5,0.26,0
North,Metro,Salaried,46500,21,134000,12,Personal,5600,760,0,2,5.2,77,Family owned,None,3,1,14.3,0.24,0
North,Tier 2,Salaried,41100,49,201000,60,Home improvement,4600,750,0,3,7.3,63,Family owned,Gold,2,0,12.0,0.41,0
West,Tier 1,Self-employed,58500,40,140000,36,Personal,22500,685,0,1,1.8,80,Rented,Property,1,0,39.1,0.2,0
North,Tier 2,Salaried,93300,26,616000,48,Business,24800,786,0,2,7.5,70,Company provided,Fixed deposit,1,0,27.9,0.55,0
South,Tier 2,Unemployed,73800,39,374000,24,Education,2600,751,0,2,5.7,32,Owned,Fixed deposit,1,0,5.5,0.42,0
North,Tier 3/Rural,Salaried,45500,47,149000,36,Personal,16700,539,1,2,1.3,62,Family owned,Gold,2,2,37.6,0.27,0
South,Metro,Gig/Contract,15200,53,98000,24,Home improvement,300,741,0,0,4.9,39,Owned,Gold,1,0,4.5,0.54,0
South,Metro,Salaried,65900,39,250000,24,Personal,19500,790,0,1,9.0,73,Rented,Gold,3,1,31.1,0.32,0
West,Tier 1,Unemployed,19100,47,152000,48,Consumer durable,2100,755,0,0,6.1,77,Owned,Gold,2,1,12.6,0.66,0
South,Tier 1,Salaried,43000,24,159000,12,Medical,2800,795,0,0,5.2,79,Company provided,Gold,1,0,9.4,0.31,0
North,Tier 1,Salaried,39600,36,100000,60,Two-wheeler,4900,838,0,5,3.8,65,Family owned,None,1,0,12.8,0.21,0
West,Tier 2,Salaried,19300,33,108000,36,Two-wheeler,2700,714,0,1,1.8,38,Rented,None,2,0,15.5,0.47,0
South,Tier 1,Self-employed,51800,39,232000,36,Personal,7400,651,0,2,5.9,71,Owned,Gold,1,1,15.5,0.37,0
West,Metro,Unemployed,138000,52,176000,12,Consumer durable,33100,647,0,1,10.2,74,Owned,None,0,0,25.0,0.11,0
North,Tier 1,Unemployed,35500,38,1059000,12,Business,3700,754,0,0,13.0,64,Rented,None,2,0,34.0,2.49,0
North,Tier 2,Salaried,64300,27,308000,6,Personal,13400,615,0,1,3.1,69,Owned,None,1,1,28.4,0.4,0
South,Tier 3/Rural,Self-employed,154100,23,99000,36,Education,37400,585,0,2,6.2,33,Owned,Vehicle,0,0,24.4,0.05,0
South,Tier 2,Salaried,67800,52,77000,12,Personal,3500,787,0,1,6.4,68,Rented,Fixed deposit,2,0,6.1,0.09,0
South,Tier 2,Self-employed,29600,41,271000,84,Business,13900,702,0,1,4.5,65,Rented,Gold,2,0,48.0,0.76,0
